company_key,stability_score,region,rating,still_active,duration_days
titan express uk ltd t a bridge street stores,10.4,wales,A,True,846
euro digital print,0.0,london,A,True,1041
supreme drive,0.0,london,A,True,1041
tamarind care,12.9,rest_england,A,True,1
aura technical services,12.9,rest_england,A,True,272
serene surroundings,0.0,london,A,True,1041
nimbus it solutions,12.9,rest_england,A,True,1041
belhati consulting services,12.9,rest_england,A,True,1041
laverstoke park produce llp t a laverstoke park farm,12.9,rest_england,A,True,1041
itil limited trading as incite insight,12.9,rest_england,A,True,1041
archdiocese of cardiff menevia,10.4,wales,A,True,209
cdl group holdings,12.9,rest_england,A,True,1041
cls airline supplies,0.0,london,A,True,1041
expro north sea,27.8,scotland,A,True,1041
gainsborough hotel bath,12.9,rest_england,A,True,1041
kwg property uk holdings,0.0,london,A,False,648
ab spice,12.9,rest_england,A,True,747
matthias garn master mason partner,12.9,rest_england,A,True,1041
p p palomo properties,12.9,rest_england,A,True,935
butterflycannon,0.0,london,A,True,467
booking whizz,12.9,rest_england,A,True,846
cundall johnston partners,12.9,rest_england,A,True,1041
all4one services,12.9,rest_england,A,False,542
my ride,12.9,rest_england,A,True,1041
carradale futures horizon,0.0,london,A,True,846
fireguard global,12.9,rest_england,A,True,1041
napoli stores,0.0,london,A,True,1041
ages ago,12.9,rest_england,A,True,846
aldgate east cash carry,0.0,london,A,True,566
stanborough school,12.9,rest_england,A,True,1041
ollier smurthwaite architects,12.9,rest_england,A,True,1041
kb sports hub,12.9,rest_england,A,True,747
btc capital markets,0.0,london,A,True,272
eithad developers,12.9,rest_england,A,True,467
limes fenton,12.9,rest_england,A,True,1041
alquity investment management,0.0,london,A,True,1041
solution business consulting,12.9,rest_england,A,True,846
veena import and export,12.9,rest_england,A,True,935
shiva aum ltd t as news box,12.9,rest_england,A,True,1041
sikh academies trust,12.9,rest_england,A,True,747
dude hub,0.0,london,A,True,747
aream group,0.0,london,A,True,1041
harland wolff belfast,14.0,ni,A,False,648
gravity care services,12.9,rest_england,A,True,1041
shivansh enterprise,0.0,london,A,True,935
pearl uk transports,12.9,rest_england,A,True,566
cumberland electrochemical,12.9,rest_england,A,True,935
gulfstream aerospace,12.9,rest_england,A,True,1041
physio answers,0.0,london,A,True,272
allsop consulting,14.0,ni,A,True,1041
formosa asset management,12.9,rest_england,A,True,272
onsite support,12.9,rest_england,A,True,935
red roofs midlands,12.9,rest_england,A,True,1041
drugsrus,12.9,rest_england,A,True,1041
binboga,12.9,rest_england,A,True,393
w and s london limited t a goboat london,0.0,london,A,False,1
qa test professionals,10.4,wales,A,True,1041
digi4u,10.4,wales,A,True,1041
mash lift installation,0.0,london,A,True,1041
international development enterprises ide uk,0.0,london,A,False,637
butterfly engineering,14.0,ni,A,False,832
pff dartford,12.9,rest_england,A,True,566
primestock meats,12.9,rest_england,A,True,935
london economics,0.0,london,A,True,1041
camdenpick neo,12.9,rest_england,A,True,393
creative marketing nw,12.9,rest_england,A,True,1041
m3 eu,12.9,rest_england,A,True,1041
iceberg ideas,12.9,rest_england,A,True,1041
beth ezra trust,0.0,london,A,True,1041
caring feathers,0.0,london,A,True,1041
cjaj angels supporting living,12.9,rest_england,A,True,1041
semiwise,27.8,scotland,A,True,272
hughes fowler carruthers,0.0,london,A,False,832
milam london,0.0,london,A,True,272
desirol,12.9,rest_england,A,True,566
nt traders,12.9,rest_england,A,True,846
ezi technology,12.9,rest_england,A,True,393
carden park hotel,12.9,rest_england,A,True,1041
enterprise system solutions,12.9,rest_england,A,True,1041
vp av,12.9,rest_england,A,True,1041
ssa delights,12.9,rest_england,A,True,566
evoshave,0.0,london,A,False,574
the appleton school,12.9,rest_england,A,True,1041
secret world wildlife rescue,12.9,rest_england,A,True,272
paperplanes global,0.0,london,A,True,467
i s o d t,0.0,london,A,False,574
24sq,0.0,london,A,True,1041
accor luxury uk,0.0,london,A,True,566
foree market,12.9,rest_england,A,True,846
interactive health,27.8,scotland,A,True,1041
newsome,12.9,rest_england,A,True,393
ascheri partners,0.0,london,A,True,1041
elmrose ltd t a lorne restaurant,0.0,london,A,True,1041
praesidio safeguarding,12.9,rest_england,A,True,846
art and science uk,0.0,london,A,True,566
briggs amasco,12.9,rest_england,A,True,1041
make me feel,0.0,london,A,True,1041
khushi international uk,12.9,rest_england,A,True,935
knorr bremse rail systems uk,12.9,rest_england,A,True,393
misoft marketing,12.9,rest_england,A,True,1041
grm energy,12.9,rest_england,A,True,272
the olive tree by carnicero,12.9,rest_england,A,True,1041
twinkle twinkle red star,12.9,rest_england,A,True,1041
gdk software,12.9,rest_england,A,True,1041
finman group uk,12.9,rest_england,A,True,935
chilli grille ltd t a chilli grille evoo the kebab factory mexigo,12.9,rest_england,A,True,1041
britannica business systems,12.9,rest_england,A,False,354
